tweet_id,favorite_count,retweet_count,source,retweeted_status,url
892420643555336193,37553,8189,Twitter for iPhone,Tweet,https://t.co/MgUWQ76dJU
892177421306343426,32281,6058,Twitter for iPhone,Tweet,https://t.co/aQFSeaCu9L
891815181378084864,24318,4008,Twitter for iPhone,Tweet,https://t.co/r0YlrsGCgy
891689557279858688,40902,8345,Twitter for iPhone,Tweet,https://t.co/tD36da7qLQ
891327558926688256,39097,9038,Twitter for iPhone,Tweet,https://t.co/0g0KMIVXZ3
891087950875897856,19665,3002,Twitter for iPhone,Tweet,https://t.co/xx5cilW0Dd
890971913173991426,11491,1985,Twitter for iPhone,Tweet,https://t.co/MV01Q820LT
890729181411237888,63358,18193,Twitter for iPhone,Tweet,https://t.co/hrcFOGi12V
890609185150312448,27029,4120,Twitter for iPhone,Tweet,https://t.co/UkrdQyoYxV
890240255349198849,30974,7112,Twitter for iPhone,Tweet,https://t.co/l3TSS3o2M0
890006608113172480,29783,7072,Twitter for iPhone,Tweet,https://t.co/jy2alqaYPH
889880896479866881,27014,4804,Twitter for iPhone,Tweet,https://t.co/u1XPQMl29g
889665388333682689,46691,9680,Twitter for iPhone,Tweet,https://t.co/BxvuXk0UCm
889638837579907072,26311,4374,Twitter for iPhone,Tweet,https://t.co/f8dEDcrKSR
889531135344209921,14677,2172,Twitter for iPhone,Tweet,https://t.co/Ya3bdfYuCx
889278841981685760,24517,5192,Twitter for iPhone,Tweet,https://t.co/qw5xRwBaIv
888917238123831296,28282,4346,Twitter for iPhone,Tweet,https://t.co/chxruIOUJN
888804989199671297,24814,4132,Twitter for iPhone,Tweet,https://t.co/L5cCoR2huQ
888554962724278272,19249,3409,Twitter for iPhone,Tweet,https://t.co/YnYAFCTTiK
888078434458587136,21127,3361,Twitter for iPhone,Tweet,https://t.co/UibDBnVpvR
887705289381826560,29334,5186,Twitter for iPhone,Tweet,https://t.co/m7BR4JgDrZ
887517139158093824,44957,11285,Twitter for iPhone,Tweet,https://t.co/20VrLAA8ba
887473957103951883,66923,17514,Twitter for iPhone,Tweet,https://t.co/cLyzpcUcMX
887343217045368832,32696,10059,Twitter for iPhone,Tweet,https://t.co/WZqNqygEyV
887101392804085760,29680,5750,Twitter for iPhone,Tweet,https://t.co/UgW2xbO7Rg
886983233522544640,34103,7486,Twitter for iPhone,Tweet,https://t.co/I6oNy0CgiT
886736880519319552,11685,3147,Twitter for iPhone,Tweet,https://t.co/RipKYZ0T1u
886680336477933568,21796,4306,Twitter for iPhone,Tweet,https://t.co/BCoWue0abA
886366144734445568,20562,3087,Twitter for iPhone,Tweet,https://t.co/iIu3AF8IWH
886267009285017600,116,4,Twitter for iPhone,Tweet,n
886258384151887873,27187,6086,Twitter for iPhone,Tweet,https://t.co/xZDA9Qsq1O
886054160059072513,0,105,Twitter for iPhone,Retweet,Retweet
885984800019947520,31653,6540,Twitter for iPhone,Tweet,https://t.co/lWeeGBBXmE
885528943205470208,34939,6202,Twitter for iPhone,Tweet,https://t.co/tp1kQ8i9JF
885518971528720385,19844,3614,Twitter for iPhone,Tweet,https://t.co/gzLHboL7Sk
885311592912609280,0,17898,Twitter for iPhone,Retweet,Retweet
885167619883638784,21276,4229,Twitter for iPhone,Tweet,https://t.co/JMU4y341NB
884925521741709313,75081,17598,Twitter for iPhone,Tweet,https://t.co/MYJvdlNRVa
884876753390489601,27087,5423,Twitter for iPhone,Tweet,https://t.co/DbNzLkDIxh
884562892145688576,23580,4521,Twitter for iPhone,Tweet,https://t.co/1r4MFCbCX5
884441805382717440,26216,5475,Twitter for iPhone,Tweet,https://t.co/JkL9KmUt8X
884247878851493888,70783,19803,Twitter for iPhone,Tweet,https://t.co/uF3pQ8Wubj
884162670584377345,19770,2878,Twitter for iPhone,Tweet,https://t.co/KcQj5mNR4m
883838122936631299,21245,3330,Twitter for iPhone,Tweet,https://t.co/zrf7IQnlHI
883482846933004288,44576,9577,Twitter for iPhone,Tweet,https://t.co/qjrljjt948
883360690899218434,22029,3581,Twitter for iPhone,Tweet,https://t.co/vAdjP5ANuJ
883117836046086144,36070,6435,Twitter for iPhone,Tweet,https://t.co/Se5fZ9wp5E
882992080364220416,23230,3787,Twitter for iPhone,Tweet,https://t.co/tyER0KpdXj
882762694511734784,27477,4726,Twitter for iPhone,Tweet,https://t.co/D43I96SlVu
882627270321602560,27136,5882,Twitter for iPhone,Tweet,https://t.co/KoU1kxPBcn
882268110199369728,43623,11203,Twitter for iPhone,Tweet,https://t.co/fYP5RlutfA
882045870035918850,28502,4784,Twitter for iPhone,Tweet,https://t.co/cj0lK9TLUv
881906580714921986,23612,3284,Twitter for iPhone,Tweet,https://t.co/503CgWbhxQ
881666595344535552,49148,10324,Twitter for iPhone,Tweet,https://t.co/7CSWCl8I6s
881633300179243008,123,7,Twitter for iPhone,Tweet,s
881536004380872706,47999,15425,Twitter for iPhone,Tweet,https://t.co/w1FVZz0JFM
881268444196462592,22471,5018,Twitter for iPhone,Tweet,https://t.co/J4Q5YjzLH0
880935762899988482,16572,2692,Twitter for iPhone,Tweet,https://t.co/D0wb1GlKAt
880872448815771648,20663,3696,Twitter for iPhone,Tweet,https://t.co/1nxJLhk0Sd
880465832366813184,27712,6064,Twitter for iPhone,Tweet,https://t.co/4VsFysDmiw
880221127280381952,26257,4077,Twitter for iPhone,Tweet,https://t.co/fUod0tVmvK
880095782870896641,26835,4194,Twitter for iPhone,Tweet,https://t.co/yxYE3cWcCP
879862464715927552,21704,3381,Twitter for iPhone,Tweet,https://t.co/Qh5aEkRQm9
879674319642796034,302,10,Twitter for iPhone,Tweet,d
879492040517615616,22778,3075,Twitter for iPhone,Tweet,https://t.co/IxM9IMKQq8
879415818425184262,102840,42860,Twitter for iPhone,Tweet,https://t.co/UDT7ZkcTgY
879376492567855104,16335,3014,Twitter for iPhone,Tweet,https://t.co/RqUrIisQta
879130579576475649,0,6589,Twitter for iPhone,Retweet,Retweet
879050749262655488,21890,4548,Twitter for iPhone,Tweet,https://t.co/ffTAMZt2n7
879008229531029506,18444,2609,Twitter for iPhone,Tweet,https://t.co/YDtpCjIPKN
878776093423087618,18869,3991,Twitter for iPhone,Tweet,https://t.co/0Uxl9Gq7hN
878604707211726852,29355,6962,Twitter for iPhone,Tweet,https://t.co/9uABQXgjwa
878404777348136964,0,1247,Twitter for iPhone,Retweet,Retweet
878316110768087041,0,6437,Twitter for iPhone,Retweet,Retweet
878281511006478336,7528,1247,Twitter for iPhone,Tweet,https://t.co/5HuiInQveF
878057613040115712,40896,6589,Twitter for iPhone,Tweet,https://t.co/cwtWnHMVpe
877736472329191424,77459,18479,Twitter for iPhone,Tweet,https://t.co/lsPyyAiF1r
877611172832227328,0,78,Twitter for iPhone,Retweet,Retweet
877556246731214848,22105,3686,Twitter for iPhone,Tweet,https://t.co/rc53DmRHwK
877316821321428993,26647,5036,Twitter for iPhone,Tweet,https://t.co/tVXlmh3uX3
877201837425926144,26386,5418,Twitter for iPhone,Tweet,https://t.co/kVwm88J6Yr
876838120628539392,20116,3235,Twitter for iPhone,Tweet,https://t.co/zuDk9mBEMO
876537666061221889,22914,4497,Twitter for iPhone,Tweet,https://t.co/ghfhFSYrMm
876484053909872640,18254,2317,Twitter for iPhone,Tweet,https://t.co/ccBFQU5UWO
876120275196170240,27196,4534,Twitter for iPhone,Tweet,https://t.co/9NqZV4WwyX
875747767867523072,24513,4160,Twitter for iPhone,Tweet,https://t.co/XRwtpQiJ15
875144289856114688,21350,4792,Twitter for iPhone,Tweet,https://t.co/wK0pt8Cnck
875097192612077568,26674,5885,Twitter for iPhone,Tweet,https://t.co/PFp4MghzBW
875021211251597312,24805,4587,Twitter for iPhone,Tweet,https://t.co/brCQoqc8AW
874680097055178752,27106,4514,Twitter for iPhone,Tweet,https://t.co/lZhtizkURD
874434818259525634,0,14286,Twitter for iPhone,Retweet,Retweet
874296783580663808,25398,3995,Twitter for iPhone,Tweet,https://t.co/0YplNnSMEm
874057562936811520,22125,3841,Twitter for iPhone,Tweet,https://t.co/0MXV9ZDhS5
874012996292530176,33616,10117,Twitter for iPhone,Tweet,https://t.co/jonYjPNmYx
873580283840344065,23589,3830,Twitter for iPhone,Tweet,https://t.co/jbitZ0V20S
873337748698140672,0,1545,Twitter for iPhone,Retweet,Retweet
873213775632977920,7052,1545,Twitter for iPhone,Tweet,https://t.co/CWPYZJvjrI
872967104147763200,26633,5278,Twitter for iPhone,Tweet,https://t.co/8rpIJr9sAC
872820683541237760,14365,3612,Twitter for iPhone,Tweet,https://t.co/M15eX8HhsR
872620804844003328,20268,3594,Twitter for iPhone,Tweet,https://t.co/lUcpnZDPz9
872486979161796608,39725,8805,Twitter for iPhone,Tweet,https://t.co/xFWhrdMuTh
872122724285648897,33577,7942,Twitter for iPhone,Tweet,https://t.co/l4qou61pKu
871879754684805121,37022,10890,Twitter for iPhone,Tweet,https://t.co/vgvqHeVsE0
871762521631449091,19808,3403,Twitter for iPhone,Tweet,https://t.co/NxsjNYcUBx
871515927908634625,19733,3380,Twitter for iPhone,Tweet,https://t.co/1HZLp9TE6u
871166179821445120,0,5572,Twitter for iPhone,Retweet,Retweet
871102520638267392,20471,5401,Twitter for iPhone,Tweet,https://t.co/AbBLh2FZCH
871032628920680449,22192,3738,Twitter for iPhone,Tweet,https://t.co/ESmXMT4AxF
870804317367881728,32912,6069,Twitter for iPhone,Tweet,https://t.co/oZ7H2eO79W
870726314365509632,116,3,Twitter for iPhone,Tweet,s
870656317836468226,12144,2593,Twitter for iPhone,Tweet,https://t.co/EHTUbra0oP
870374049280663552,81040,25747,Twitter for iPhone,Tweet,https://t.co/6SWu4xkvDk
870308999962521604,21419,4076,Twitter for iPhone,Tweet,https://t.co/LR0TT56LvT
870063196459192321,35888,8188,Twitter for iPhone,Tweet,https://t.co/pf6BEpgCfo
869772420881756160,41613,9862,Twitter for iPhone,Tweet,https://t.co/HciEaJkC4D
869702957897576449,27705,6236,Twitter for iPhone,Tweet,https://t.co/RjBqu7O8Yw
869596645499047938,15690,3083,Twitter for iPhone,Tweet,https://t.co/8UTtgmsPdl
869227993411051520,20099,3735,Twitter for iPhone,Tweet,https://t.co/2lERR4Uoyt
868880397819494401,64391,14255,Twitter for iPhone,Tweet,https://t.co/r28jFx9uyF
868639477480148993,0,2055,Twitter for iPhone,Retweet,Retweet
868622495443632128,26248,5218,Twitter for iPhone,Tweet,https://t.co/yeaH8Ej5eM
868552278524837888,9949,2055,Twitter for iPhone,Tweet,https://t.co/0xI8JbHfLa
867900495410671616,23803,4120,Twitter for iPhone,Tweet,https://t.co/DI5BnH6c3G
867774946302451713,33428,7256,Twitter for iPhone,Tweet,https://t.co/ZYg3NZGICa
867421006826221569,15868,2464,Twitter for iPhone,Tweet,https://t.co/nqhQ44KnQL
867072653475098625,0,119,Twitter for iPhone,Retweet,Retweet
867051520902168576,31760,7774,Twitter for iPhone,Tweet,https://t.co/Qk5Xvus2gJ
866720684873056260,19778,4762,Twitter for iPhone,Tweet,https://t.co/Q8mVwWN3f4
866686824827068416,18998,3445,Twitter for iPhone,Tweet,https://t.co/PSJxrMtzCu
866450705531457537,120513,34963,Twitter for iPhone,Tweet,https://t.co/wk7TfysWHr
866334964761202691,51796,14286,Twitter for iPhone,Tweet,https://t.co/W86h5dgR6c
866094527597207552,0,8289,Twitter for iPhone,Retweet,Retweet
865718153858494464,25302,5574,Twitter for iPhone,Tweet,https://t.co/EzSWgvFLSD
865359393868664832,26130,4965,Twitter for iPhone,Tweet,https://t.co/SOuLinJPxm
